algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true,0.033336205208763535,0.014231499051233398,0.004305055610715758,0.0062618595825426945,10
itemknn,cm100k_true,0.022136371290155193,0.01043643263757116,0.006371638567445784,0.009013282732447819,10
listrankmf,cm100k_true,0.027553746714646367,0.011764705882352943,0.005795569847541822,0.006925996204933587,10
randomguess,cm100k_true,0.008348332565600119,0.005218216318785579,0.008348364957559768,0.011859582542694497,10
slim,cm100k_true,0.016573744882568412,0.008538899430740038,0.007286851951959715,0.010436432637571158,10
svdpp,cm100k_true,0.015613210845658664,0.008538899430740038,0.006230400937957266,0.008633776091081595,10
ranksgd,cm100k_true,0.020553757301720245,0.010056925996204936,0.00552474370409552,0.007969639468690705,10
userknn,cm100k_true,0.023878248027846195,0.011764705882352943,0.006365943029163196,0.009297912713472486,10
smootheditemaverage,cm100k_true,0.010857586699617061,0.006736242884250475,0.008138110495890971,0.010531309297912714,10
optimalobservedprecision,cm100k_true,0.03025178211303895,0.013282732447817837,0.004705914322079637,0.006546489563567363,10
optimalobservedantiprecision,cm100k_true,0.009936903176941127,0.0058823529411764705,0.0098110887967891,0.01299810246679317,10
optimaltrueprecision,cm100k_true,0.03540622432100275,0.01603415559772296,0.005085767196887598,0.006925996204933587,10
optimaltrueantiprecision,cm100k_true,0.02227540275452989,0.010246679316888047,0.002173375050069171,0.0029411764705882353,10
optimaltrueprecisionrestricted,cm100k_true,0.028987980833889974,0.013946869070208728,0.0024156805859342563,0.003510436432637571,10
optimaltrueantiprecisionrestricted,cm100k_true,0.028987980833889974,0.013946869070208728,0.0024156805859342563,0.003510436432637571,10
pnmf,cm100k_true,0.021223934952448176,0.009392789373814044,0.005893835340473509,0.008633776091081593,10
eals,cm100k_true,0.012798199586624634,0.005597722960151803,0.008629346667896234,0.011954459203036054,10
gbpr,cm100k_true,0.021608100928477085,0.009772296015180267,0.008181908564188222,0.011385199240986719,10
plsa,cm100k_true,0.015886823207673748,0.008823529411764706,0.005203190531439319,0.007495256166982923,10
bpoissmf,cm100k_true,0.008991097423121085,0.00540796963946869,0.010143841359628163,0.014136622390891843,10
wrmf,cm100k_true,0.02019305804884552,0.009772296015180267,0.0063212266965227875,0.009108159392789375,10
wbpr,cm100k_true,0.022276865678752054,0.00920303605313093,0.006725173854578989,0.009582542694497155,10
