algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_observed_synthetic,0.0024089935760171306,0.0004282655246252677,0.08058529621698786,0.01702355460385439,10
itemknn,cm100k_observed_synthetic,0.0005353319057815846,0.00010706638115631693,0.021431120628122767,0.004603854389721628,10
listrankmf,cm100k_observed_synthetic,0.0032119914346895075,0.0003211991434689508,0.014079229122055673,0.0026766595289079227,10
randomguess,cm100k_observed_synthetic,0.0021413276231263384,0.00021413276231263385,0.008511777301927195,0.0018201284796573874,10
slim,cm100k_observed_synthetic,0.0034796573875802996,0.0005353319057815846,0.08481441827266238,0.017023554603854393,10
svdpp,cm100k_observed_synthetic,0.003747323340471092,0.0005353319057815846,0.004996431120628123,0.0006423982869379015,10
ranksgd,cm100k_observed_synthetic,0.005085653104925054,0.0006423982869379016,0.011009992862241254,0.0022483940042826557,10
userknn,cm100k_observed_synthetic,0.0029443254817987153,0.0005353319057815846,0.056673804425410416,0.01134903640256959,10
smootheditemaverage,cm100k_observed_synthetic,0.0,0.0,0.0016059957173447537,0.0004282655246252677,10
optimalobservedprecision,cm100k_observed_synthetic,0.0010706638115631692,0.00010706638115631693,0.049393290506780874,0.010706638115631691,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.004014989293361884,0.0005353319057815846,0.002498215560314061,0.0004282655246252677,10
optimaltrueprecision,cm100k_observed_synthetic,0.02230549607423269,0.0031049250535331906,0.03576017130620985,0.007280513918629549,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0066916488222698075,0.0008565310492505354,0.0,0.0,10
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.0104389721627409,0.0012847965738758032,0.0,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.0066916488222698075,0.0008565310492505354,0.0,0.0,10
pnmf,cm100k_observed_synthetic,0.004550321199143469,0.0006423982869379016,0.055603140613847246,0.011563169164882228,10
eals,cm100k_observed_synthetic,0.0,0.0,0.007815845824411135,0.0018201284796573879,10
gbpr,cm100k_observed_synthetic,0.0032119914346895075,0.0004282655246252677,0.03393239522789844,0.0073875802997858675,10
plsa,cm100k_observed_synthetic,0.0030335474660956457,0.0004282655246252677,0.04373661670235546,0.008993576017130621,10
bpoissmf,cm100k_observed_synthetic,0.0026766595289079227,0.0003211991434689508,0.013829407566024268,0.002890792291220557,10
wrmf,cm100k_observed_synthetic,0.0016059957173447537,0.00021413276231263385,0.02967523197715917,0.006531049250535332,10
wbpr,cm100k_observed_synthetic,0.0034796573875802996,0.0005353319057815846,0.055496074232690935,0.011241970021413276,10
